build,version,platforms
241889,6.0.7,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
245427,6.2.1,AIX-powerpc;linux-2.6-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;solaris-10-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-i686;x86-windows;SunOS-sparc
249101,6.1.6,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
255606,6.2.2,AIX-powerpc;linux-2.6-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;solaris-10-sparc;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-i686;x86-windows;SunOS-sparc
259743,5.0.12,FreeBSD7-amd64;darwin-64;SunOS-i386;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;HPUX-PARISC;freebsd-7.3-intel;HPUX-ia64;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
259987,6.0.8,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
260715,6.1.7,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;AIX-powerpc;solaris-8-sparc;linux-2.6-amd64;SunOS-i386;SunOS9-sparc;freebsd-7.3-intel;HPUX-ia64;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
264376,6.2.3,AIX-powerpc;linux-2.6-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;SunOS10-sparc;solaris-10-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-i686;x86-windows;SunOS-sparc
266909,6.1.8,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-PARISC;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
267091,5.0.13,FreeBSD7-amd64;freebsd-7.3-intel;linux-2.6-intel;solaris-9-intel;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;AIX-powerpc;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;SunOS-i386;Linux-i686;FreeBSD7-i386;x86-windows;SunOS-sparc
